"DateTime","Period","offered.by","taken.by","index","key","Group","Sender","Time","ClientTime","type","price","q","sender_x","sender_y","offerer_y","offerer_x","offerer","trade","text","order"
2016-02-08 21:39:00,1,"4",NA,"0",NA,1,NA,1454996340801285888,1454996340684,"offer","0.38","8.15",NA,NA,NA,NA,NA,FALSE,NA,1
2016-02-08 21:39:05,1,"2",NA,"0",NA,1,NA,1454996345800780288,1454996345683,"offer","3.25","-2.7",NA,NA,NA,NA,NA,FALSE,NA,1
2016-02-08 21:39:08,1,"2",NA,"1",NA,1,NA,1454996348805380864,1454996348681,"offer","0.01","14.89",NA,NA,NA,NA,NA,FALSE,NA,1
2016-02-08 21:39:08,1,"3",NA,"0",NA,1,NA,1454996348802135552,1454996348683,"offer","8.02","-1.72",NA,NA,NA,NA,NA,FALSE,NA,1
2016-02-08 21:39:08,1,"4","1",NA,"4-0",1,"1",1454996348807821312,1454996348686,"bid","0.38","4.22","5","6","5","6","4",TRUE,NA,NA
2016-02-08 21:39:10,1,"2",NA,"2",NA,1,NA,1454996350809070592,1454996350680,"offer","1.78","-1.25",NA,NA,NA,NA,NA,FALSE,NA,1
2016-02-08 21:39:10,1,"2",NA,"0",NA,1,NA,1454996350808658176,1454996350680,"cancel",NA,NA,NA,NA,NA,NA,NA,FALSE,NA,1
2016-02-08 21:39:10,1,"3",NA,"1",NA,1,NA,1454996350798206208,1454996350681,"offer","0.68","-4.56",NA,NA,NA,NA,NA,FALSE,NA,1
2016-02-08 21:39:10,1,"3",NA,"0",NA,1,NA,1454996350797634560,1454996350681,"cancel",NA,NA,NA,NA,NA,NA,NA,FALSE,NA,1
2016-02-08 21:39:11,1,"3",NA,"2",NA,1,NA,1454996351797680384,1454996351680,"offer","8.18","-1.02",NA,NA,NA,NA,NA,FALSE,NA,1
2016-02-08 21:39:11,1,"3",NA,"1",NA,1,NA,1454996351796689152,1454996351680,"cancel",NA,NA,NA,NA,NA,NA,NA,FALSE,NA,1
2016-02-08 21:39:11,1,"4",NA,"1",NA,1,NA,1454996351815218432,1454996351681,"offer","0.57","5.06",NA,NA,NA,NA,NA,FALSE,NA,1
2016-02-08 21:39:11,1,"4",NA,"0",NA,1,NA,1454996351814667264,1454996351681,"cancel",NA,NA,NA,NA,NA,NA,NA,FALSE,NA,1
2016-02-08 21:39:12,1,"1",NA,"0",NA,1,NA,1454996352807575808,1454996352690,"offer","0.42","14.26",NA,NA,NA,NA,NA,FALSE,NA,1
2016-02-08 21:39:13,1,"2",NA,"3",NA,1,NA,1.454996353226e+18,1454996353107,"offer","1.67","-2.4",NA,NA,NA,NA,NA,FALSE,NA,1
2016-02-08 21:39:13,1,"2",NA,"2",NA,1,NA,1454996353224568064,1454996353107,"cancel",NA,NA,NA,NA,NA,NA,NA,FALSE,NA,1
2016-02-08 21:39:14,1,"4",NA,"2",NA,1,NA,1454996354796571648,1454996354680,"offer","1.59","-8.76",NA,NA,NA,NA,NA,FALSE,NA,1
